sep=;
# Datei;"Log_20251203_211942.csv"
# Kunde;"Bsndn"
# Objekt;"D d"
# Messstelle;""
# Verglasungsart;"2-fach"
# Notizen;"Bsbdbd"
# Startzeit;"2025-12-03 21:19:42"
# Messintervall [s];1

Zeit [s];T_si [°C];T_se [°C];q_si [W/m²];q_se [W/m²];q_mittel [W/m²];Lux [lx];U [W/m²K];q_true [W/m²]
0;19,55;19,60;-0,7;-0,3;-0,5; 1;-10,05;
2;19,44;19,51;-0,8;-0,1;-0,4; 1;-6,68;
3;19,43;19,50;-0,8;-0,1;-0,4; 1;-6,09;
4;19,43;19,51;-0,8;-0,1;-0,4; 1;-5,35;
5;19,43;19,51;-0,8;-0,1;-0,4; 1;-5,26;
6;19,43;19,51;-0,8;-0,1;-0,4; 1;-5,31;
7;19,43;19,50;-0,7;-0,1;-0,4; 1;-5,85;
8;19,43;19,50;-0,7;-0,1;-0,4; 1;-6,46;
9;19,44;19,49;-0,7;-0,1;-0,4; 1;-8,26;
10;19,44;19,49;-0,7;-0,1;-0,4; 1;-8,61;
11;19,44;19,50;-0,7;-0,1;-0,4; 1;-7,29;
12;19,45;19,50;-0,7;-0,1;-0,4; 1;-7,39;
13;19,45;19,50;-0,6;-0,1;-0,4; 1;-7,69;
14;19,45;19,50;-0,6;-0,1;-0,4; 1;-8,38;
15;19,45;19,49;-0,6;-0,1;-0,4; 1;-8,57;
16;19,45;19,49;-0,6;-0,1;-0,4; 1;-8,74;
17;19,45;19,49;-0,6;-0,1;-0,4; 1;-10,51;
18;19,45;19,48;-0,6;-0,1;-0,4; 1;-14,18;
19;19,44;19,48;-0,6;-0,1;-0,4; 1;-10,16;
20;19,44;19,48;-0,6;-0,1;-0,4; 1;-9,44;
21;19,44;19,49;-0,6;-0,1;-0,4; 1;-7,81;
22;19,44;19,48;-0,6;-0,1;-0,4; 1;-8,49;
23;19,44;19,47;-0,6;-0,1;-0,4; 1;-10,69;
24;19,43;19,48;-0,6;-0,1;-0,4; 1;-8,47;
25;19,44;19,47;-0,6;-0,1;-0,4; 1;-10,66;
26;19,44;19,47;-0,6;-0,1;-0,4; 1;-11,68;
27;19,44;19,47;-0,6;-0,1;-0,4; 1;-12,16;
28;19,44;19,46;-0,6;-0,1;-0,4; 1;-14,85;
29;19,43;19,47;-0,6;-0,1;-0,4; 1;-9,74;
30;19,44;19,47;-0,6;-0,1;-0,4; 1;-10,12;
31;19,43;19,47;-0,6;-0,1;-0,4; 1;-8,75;
32;19,43;19,47;-0,6;-0,1;-0,4; 1;-8,39;
33;19,43;19,46;-0,6;-0,1;-0,4; 1;-12,47;
34;19,43;19,46;-0,6;-0,1;-0,4; 1;-12,93;
35;19,43;19,45;-0,6;-0,1;-0,4; 1;-15,22;
36;19,42;19,45;-0,6;-0,1;-0,4; 1;-14,24;
37;19,43;19,45;-0,6;-0,1;-0,4; 1;-18,56;
38;19,43;19,45;-0,6;-0,1;-0,4; 1;-17,10;
39;19,43;19,45;-0,6;-0,1;-0,4; 1;-16,03;
40;19,42;19,45;-0,6;-0,1;-0,4; 1;-14,94;
41;19,43;19,45;-0,6;-0,1;-0,4; 1;-13,21;
42;19,42;19,45;-0,6;-0,1;-0,4; 1;-12,10;
43;19,42;19,45;-0,6;-0,1;-0,4; 1;-11,76;
44;19,42;19,45;-0,6;-0,1;-0,4; 1;-13,85;
45;19,42;19,45;-0,6;-0,1;-0,4; 1;-13,80;
46;19,43;19,45;-0,6;-0,1;-0,4; 1;-20,33;
47;19,43;19,45;-0,6;-0,1;-0,4; 1;-18,45;
48;19,43;19,45;-0,6;-0,1;-0,4; 1;-16,59;
49;19,43;19,44;-0,6;-0,1;-0,4; 1;-22,21;
50;19,42;19,44;-0,6;-0,1;-0,4; 1;-18,42;
51;19,42;19,44;-0,6;-0,1;-0,4; 1;-17,53;
52;19,41;19,44;-0,7;-0,1;-0,4; 1;-10,34;
53;19,40;19,43;-0,7;-0,1;-0,4; 1;-10,64;
54;19,39;19,43;-0,7;-0,1;-0,4; 1;-10,83;
55;19,39;19,42;-0,7;-0,1;-0,4; 1;-10,91;
56;19,38;19,42;-0,7;-0,1;-0,4; 1;-9,48;
57;19,38;19,42;-0,7;-0,1;-0,4; 1;-9,37;
58;19,38;19,42;-0,7;-0,1;-0,4; 1;-9,18;
59;19,38;19,42;-0,7;-0,1;-0,4; 1;-8,43;
60;19,38;19,42;-0,7;-0,1;-0,4; 1;-8,52;
61;19,37;19,41;-0,7;-0,1;-0,4; 1;-9,19;
62;19,37;19,41;-0,7;-0,0;-0,4; 1;-9,39;
63;19,36;19,41;-0,7;-0,0;-0,4; 1;-7,15;
64;19,36;19,41;-0,7;-0,0;-0,4; 1;-7,80;
65;19,36;19,40;-0,7;-0,0;-0,4; 1;-10,79;
66;19,36;19,40;-0,7;-0,0;-0,4; 1;-8,34;
67;19,36;19,41;-0,7;-0,0;-0,4; 1;-7,45;
68;19,36;19,40;-0,8;-0,0;-0,4; 1;-8,75;
