sep=;
# Datei;"Log_20251203_213959.csv"
# Kunde;"Hj"
# Objekt;"Jjj"
# Messstelle;""
# Verglasungsart;"3-fach"
# Notizen;"Jjkj"
# Startzeit;"2025-12-03 21:39:59"
# Messintervall [s];1

Zeit [s];T_si [°C];T_se [°C];q_si [W/m²];q_se [W/m²];q_mittel [W/m²];Lux [lx];U [W/m²K];q_true [W/m²]
0;19,07;19,10;-0,4;-0,2;-0,3; 1;-7,91;
2;18,99;19,05;-0,2;-0,3;-0,2; 1;-3,91;
3;19,02;19,05;-0,1;-0,3;-0,2; 1;-8,05;
5;19,00;19,05;-0,1;-0,3;-0,2; 1;-4,86;
5;19,00;19,05;-0,2;-0,3;-0,2; 1;-4,99;
6;19,00;19,05;-0,2;-0,3;-0,2; 1;-4,57;
7;19,02;19,04;-0,2;-0,3;-0,2; 1;-8,27;
8;19,00;19,04;-0,2;-0,3;-0,2; 1;-7,02;
9;19,00;19,04;-0,2;-0,3;-0,3; 1;-5,81;
10;19,00;19,04;-0,2;-0,3;-0,3; 1;-6,06;
11;19,00;19,03;-0,2;-0,3;-0,3; 1;-8,15;
12;19,02;19,04;-0,2;-0,3;-0,2; 1;-7,27;
13;19,03;19,03;-0,2;-0,3;-0,2; 1;0,00;
14;19,02;19,03;-0,2;-0,3;-0,2; 1;-6,82;
15;19,03;19,03;-0,1;-0,3;-0,2; 1;0,00;
16;19,02;19,03;-0,1;-0,3;-0,2; 1;-5,94;
17;19,02;19,02;-0,1;-0,3;-0,2; 1;0,00;
18;19,03;19,04;-0,1;-0,3;-0,2; 1;-6,91;
19;19,02;19,04;-0,1;-0,3;-0,2; 1;-5,62;
20;19,03;19,04;-0,2;-0,3;-0,2; 1;-16,77;
21;19,02;19,04;-0,2;-0,3;-0,2; 1;-12,56;
22;19,01;19,05;-0,2;-0,3;-0,2; 1;-6,32;
23;19,02;19,05;-0,2;-0,3;-0,3; 1;-7,47;
24;19,03;19,05;-0,2;-0,3;-0,3; 1;-3,57;
25;19,02;19,04;-0,2;-0,3;-0,3; 1;-13,61;
26;19,02;19,05;-0,2;-0,3;-0,3; 1;-11,68;
27;19,01;19,04;-0,2;-0,3;-0,3; 1;-8,07;
28;19,01;19,05;-0,2;-0,3;-0,3; 1;-6,08;
29;19,02;19,05;-0,2;-0,3;-0,3; 1;-8,91;
