sep=;
# Datei;"Log_20251203_230223.csv"
# Kunde;"Hallo"
# Objekt;"Vnv"
# Messstelle;"F8"
# Verglasungsart;"3-fach"
# Notizen;"Test n.  Fndndndd Mund dld ldlsdndk"
# Startzeit;"2025-12-03 23:02:25"
# Messintervall [s];1

Zeit [s];T_si [°C];T_se [°C];q_si [W/m²];q_se [W/m²];q_mittel [W/m²];Lux [lx];U [W/m²K];q_true [W/m²]
0;19,13;19,09;-0,0;-0,5;-0,2; 0;3,00;
2;19,10;19,10;-0,2;-0,4;-0,3; 0;5,65;
3;19,09;19,09;-0,1;-0,4;-0,3; 0;5,07;
4;19,10;19,09;-0,1;-0,4;-0,3; 0;5,25;
5;19,10;19,09;-0,1;-0,4;-0,3; 0;4,63;
6;19,10;19,08;-0,1;-0,4;-0,3; 0;4,72;
7;19,10;19,08;-0,1;-0,4;-0,3; 0;3,95;
8;19,09;19,09;-0,1;-0,4;-0,3; 0;5,03;
10;19,10;19,08;-0,1;-0,4;-0,3; 0;3,70;
10;19,10;19,08;-0,1;-0,4;-0,3; 0;3,59;
11;19,09;19,07;-0,1;-0,5;-0,3; 0;3,85;
12;19,09;19,07;-0,1;-0,5;-0,3; 0;4,21;
13;19,08;19,08;-0,1;-0,5;-0,3; 0;5,24;
14;19,08;19,08;-0,1;-0,5;-0,3; 0;5,30;
15;19,07;19,09;-0,1;-0,4;-0,3; 0;4,42;
16;19,08;19,09;-0,1;-0,4;-0,3; 0;4,75;
17;19,09;19,09;-0,1;-0,4;-0,2; 0;5,42;
18;19,09;19,09;-0,1;-0,4;-0,2; 0;5,36;
19;19,09;19,08;-0,1;-0,4;-0,2; 0;5,20;
20;19,07;19,08;-0,1;-0,4;-0,2; 0;4,85;
21;19,06;19,08;-0,1;-0,4;-0,2; 0;4,10;
22;19,05;19,07;-0,1;-0,4;-0,2; 0;4,02;
23;19,05;19,08;-0,1;-0,4;-0,2; 0;3,60;
24;19,05;19,08;-0,1;-0,4;-0,2; 0;3,51;
25;19,06;19,08;-0,1;-0,4;-0,2; 0;4,11;
