sep=;
# Datei;"Log_20251203_232529.csv"
# Kunde;"Keks"
# Objekt;"Bdidyb"
# Messstelle;"F2"
# Verglasungsart;"3-fach"
# Notizen;"Dbdod"
# Startzeit;"2025-12-03 23:25:31"
# Messintervall [s];1

Zeit [s];T_si [°C];T_se [°C];q_si [W/m²];q_se [W/m²];q_mittel [W/m²];Lux [lx];U [W/m²K];q_true [W/m²]
0;18,74;18,85;-0,2;-0,3;-0,3; 0;1,66;
2;18,77;18,82;-0,1;-0,4;-0,2; 0;2,35;
3;18,77;18,83;-0,1;-0,4;-0,2; 0;2,31;
4;18,78;18,82;-0,0;-0,4;-0,2; 0;2,72;
5;18,79;18,83;-0,0;-0,4;-0,2; 0;2,89;
6;18,79;18,83;-0,0;-0,4;-0,2; 0;2,67;
7;18,79;18,82;0,0;-0,4;-0,2; 0;3,03;
8;18,80;18,83;-0,0;-0,4;-0,2; 0;3,19;
9;18,79;18,82;-0,0;-0,4;-0,2; 0;3,32;
10;18,79;18,82;-0,0;-0,4;-0,2; 0;3,25;
11;18,78;18,81;-0,0;-0,4;-0,2; 0;3,34;
12;18,79;18,81;-0,0;-0,4;-0,2; 0;3,55;
13;18,79;18,81;-0,0;-0,4;-0,2; 0;3,69;
14;18,79;18,81;-0,0;-0,4;-0,2; 0;3,58;
15;18,79;18,81;-0,0;-0,4;-0,2; 0;3,37;
16;18,78;18,81;-0,0;-0,4;-0,2; 0;3,27;
17;18,79;18,81;-0,0;-0,4;-0,2; 0;3,35;
