sep=;
# Datei;"Log_20251203_233818.csv"
# Kunde;"Hallo"
# Objekt;"Das ist ein Test"
# Messstelle;"F1"
# Verglasungsart;"3-fach"
# Notizen;"Ne"
# Startzeit;"2025-12-03 23:38:19"
# Messintervall [s];1

Zeit [s];T_si [°C];T_se [°C];q_si [W/m²];q_se [W/m²];q_mittel [W/m²];Lux [lx];U [W/m²K];q_true [W/m²]
0;18,66;18,74;-0,3;-0,3;-0,3; 0;2,08;
2;18,59;18,70;-0,3;-0,3;-0,3; 0;1,83;
3;18,59;18,70;-0,3;-0,3;-0,3; 0;1,79;
4;18,59;18,70;-0,3;-0,3;-0,3; 0;1,79;
5;18,58;18,70;-0,3;-0,3;-0,3; 0;1,75;
6;18,58;18,70;-0,3;-0,3;-0,3; 0;1,78;
7;18,57;18,69;-0,3;-0,3;-0,3; 0;1,79;
8;18,56;18,69;-0,4;-0,3;-0,3; 0;1,68;
9;18,56;18,69;-0,4;-0,3;-0,3; 0;1,68;
10;18,57;18,69;-0,3;-0,2;-0,3; 0;1,71;
11;18,57;18,69;-0,3;-0,2;-0,3; 0;1,71;
12;18,57;18,69;-0,3;-0,2;-0,3; 0;1,67;
13;18,58;18,69;-0,3;-0,3;-0,3; 0;1,73;
14;18,59;18,68;-0,3;-0,3;-0,3; 0;1,88;
15;18,59;18,68;-0,2;-0,3;-0,3; 0;2,00;
16;18,59;18,68;-0,2;-0,3;-0,2; 0;1,88;
