sep=;
# Datei;"Log_20251204_002647.csv"
# Kunde;"Test"
# Objekt;"Test"
# Messstelle;"F1"
# Verglasungsart;"3-fach"
# Notizen;"Ne"
# Startzeit;"2025-12-04 00:26:49"
# Messintervall [s];2

Zeit [s];T_si [°C];T_se [°C];q_si [W/m²];q_se [W/m²];q_mittel [W/m²];Lux [lx];U [W/m²K];q_true [W/m²]
0;18,42;18,66;-0,2;-0,2;-0,2; 0;0,82;
4;18,39;18,62;-0,2;-0,1;-0,1; 0;0,53;
6;18,38;18,61;-0,2;-0,0;-0,1; 0;0,54;
8;18,38;18,62;-0,2;-0,1;-0,1; 0;0,55;
10;18,38;18,62;-0,2;-0,1;-0,2; 0;0,60;
13;18,38;18,62;-0,2;-0,1;-0,2; 0;0,64;
14;18,38;18,63;-0,2;-0,2;-0,2; 0;0,63;
16;18,39;18,63;-0,1;-0,2;-0,2; 0;0,65;
18;18,39;18,63;-0,1;-0,2;-0,2; 0;0,66;
20;18,40;18,62;-0,1;-0,3;-0,2; 0;0,66;
22;18,41;18,63;-0,1;-0,3;-0,2; 0;0,64;
24;18,41;18,63;-0,0;-0,3;-0,2; 0;0,64;
26;18,42;18,63;-0,0;-0,3;-0,1; 0;0,61;
28;18,42;18,62;-0,0;-0,3;-0,1; 0;0,63;
30;18,43;18,62;-0,0;-0,2;-0,1; 0;0,67;
32;18,42;18,62;-0,1;-0,2;-0,1; 0;0,64;
34;18,41;18,60;-0,1;-0,2;-0,1; 0;0,60;
36;18,41;18,60;-0,1;-0,1;-0,1; 0;0,58;
38;18,41;18,60;-0,1;-0,1;-0,1; 0;0,59;
40;18,41;18,60;-0,1;-0,2;-0,1; 0;0,65;
42;18,42;18,60;-0,1;-0,2;-0,1; 0;0,68;
44;18,41;18,60;-0,1;-0,2;-0,2; 0;0,72;
46;18,42;18,61;-0,1;-0,2;-0,2; 0;0,76;
48;18,43;18,62;-0,1;-0,3;-0,2; 0;0,79;
50;18,44;18,63;-0,0;-0,3;-0,2; 0;0,82;
52;18,44;18,64;-0,0;-0,4;-0,2; 0;0,80;
55;18,45;18,64;0,0;-0,4;-0,2; 0;0,81;
56;18,45;18,64;0,0;-0,4;-0,2; 0;0,79;
58;18,44;18,65;0,0;-0,3;-0,2; 0;0,73;
60;18,44;18,65;-0,0;-0,3;-0,2; 0;0,70;
62;18,43;18,64;-0,1;-0,3;-0,2; 0;0,70;
64;18,43;18,64;-0,1;-0,3;-0,2; 0;0,72;
66;18,43;18,63;-0,1;-0,3;-0,2; 0;0,72;
68;18,43;18,62;-0,1;-0,2;-0,1; 0;0,69;
70;18,43;18,61;-0,1;-0,2;-0,1; 0;0,70;
72;18,43;18,61;-0,1;-0,2;-0,1; 0;0,71;
74;18,43;18,62;-0,1;-0,2;-0,1; 0;0,65;
76;18,43;18,61;-0,1;-0,2;-0,1; 0;0,63;
78;18,43;18,61;-0,1;-0,2;-0,1; 0;0,58;
80;18,43;18,61;-0,0;-0,2;-0,1; 0;0,52;
82;18,42;18,61;-0,1;-0,2;-0,1; 0;0,55;
