sep=;
# Datei;"Log_20251204_005038.csv"
# Kunde;"Nkv"
# Objekt;"Civv"
# Messstelle;"F5"
# Verglasungsart;"3-fach"
# Notizen;"Beide"
# Startzeit;"2025-12-04 00:50:40"
# Messintervall [s];1

Zeit [s];T_si [°C];T_se [°C];q_si [W/m²];q_se [W/m²];q_mittel [W/m²];Lux [lx];U [W/m²K];q_true [W/m²]
0;18,44;18,60;-0,0;-0,2;-0,1; 0;0,53;
2;18,45;18,66;-0,1;-0,2;-0,1; 0;0,62;
3;18,45;18,66;-0,2;-0,2;-0,2; 0;0,66;
4;18,45;18,66;-0,2;-0,2;-0,2; 0;0,69;
5;18,45;18,67;-0,2;-0,2;-0,2; 0;0,71;
6;18,45;18,66;-0,2;-0,2;-0,2; 0;0,75;
7;18,45;18,65;-0,2;-0,2;-0,2; 0;0,74;
8;18,44;18,65;-0,2;-0,2;-0,2; 0;0,70;
9;18,44;18,66;-0,2;-0,2;-0,2; 0;0,67;
11;18,44;18,66;-0,1;-0,2;-0,2; 0;0,67;
11;18,45;18,66;-0,1;-0,2;-0,2; 0;0,68;
12;18,45;18,66;-0,1;-0,2;-0,2; 0;0,67;
13;18,46;18,66;-0,1;-0,2;-0,1; 0;0,62;
14;18,46;18,65;-0,0;-0,2;-0,1; 0;0,58;
15;18,45;18,66;-0,0;-0,2;-0,1; 0;0,52;
16;18,45;18,66;-0,0;-0,2;-0,1; 0;0,49;
17;18,45;18,66;0,0;-0,2;-0,1; 0;0,47;
18;18,46;18,67;0,1;-0,3;-0,1; 0;0,47;
19;18,47;18,66;0,1;-0,3;-0,1; 0;0,49;
20;18,47;18,67;0,1;-0,3;-0,1; 0;0,49;
21;18,48;18,67;0,1;-0,3;-0,1; 0;0,50;
22;18,47;18,68;0,1;-0,3;-0,1; 0;0,46;
23;18,48;18,67;0,1;-0,3;-0,1; 0;0,45;
24;18,48;18,68;0,1;-0,3;-0,1; 0;0,42;
25;18,47;18,67;0,1;-0,3;-0,1; 0;0,42;
