sep=;
# Datei;"Log_20251204_011404.csv"
# Kunde;"Hallo"
# Objekt;"Weiterer Test"
# Messstelle;"F5"
# Verglasungsart;"2-fach"
# Notizen;"Jddidv"
# Startzeit;"2025-12-04 01:14:06"
# Messintervall [s];1

Zeit [s];T_si [°C];T_se [°C];q_si [W/m²];q_se [W/m²];q_mittel [W/m²];Lux [lx];U [W/m²K];q_true [W/m²]
0;18,34;18,64;-0,1;-0,2;-0,2; 0;0,55;
2;18,39;18,70;0,0;-0,4;-0,2; 0;0,54;
3;18,40;18,69;0,1;-0,4;-0,2; 0;0,53;
4;18,39;18,69;0,1;-0,4;-0,2; 0;0,51;
5;18,40;18,68;0,1;-0,4;-0,2; 0;0,51;
6;18,40;18,69;0,1;-0,4;-0,1; 0;0,48;
7;18,40;18,67;0,1;-0,4;-0,1; 0;0,47;
8;18,40;18,67;0,1;-0,4;-0,1; 0;0,47;
9;18,41;18,67;0,1;-0,4;-0,1; 0;0,48;
10;18,42;18,67;0,1;-0,4;-0,1; 0;0,48;
11;18,41;18,67;0,1;-0,4;-0,1; 0;0,45;
12;18,41;18,68;0,1;-0,4;-0,1; 0;0,41;
13;18,40;18,67;0,1;-0,4;-0,1; 0;0,41;
14;18,40;18,67;0,1;-0,3;-0,1; 0;0,44;
16;18,39;18,67;0,1;-0,3;-0,1; 0;0,45;
16;18,38;18,67;0,0;-0,3;-0,1; 0;0,43;
17;18,38;18,67;0,0;-0,3;-0,1; 0;0,43;
18;18,37;18,66;-0,0;-0,3;-0,1; 0;0,43;
19;18,36;18,67;-0,0;-0,2;-0,1; 0;0,42;
20;18,37;18,65;-0,1;-0,2;-0,1; 0;0,44;
21;18,37;18,65;-0,1;-0,2;-0,1; 0;0,45;
22;18,37;18,65;-0,1;-0,2;-0,1; 0;0,45;
23;18,37;18,65;-0,1;-0,2;-0,1; 0;0,44;
24;18,37;18,64;-0,1;-0,2;-0,1; 0;0,46;
25;18,38;18,65;-0,1;-0,2;-0,1; 0;0,49;
26;18,37;18,66;-0,1;-0,2;-0,2; 0;0,48;
27;18,35;18,65;-0,1;-0,2;-0,2; 0;0,49;
28;18,35;18,65;-0,1;-0,2;-0,2; 0;0,49;
29;18,36;18,64;-0,1;-0,2;-0,2; 0;0,53;
30;18,35;18,65;-0,1;-0,2;-0,2; 0;0,50;
31;18,36;18,64;-0,1;-0,2;-0,2; 0;0,51;
32;18,34;18,63;-0,2;-0,2;-0,2; 0;0,50;
33;18,34;18,63;-0,2;-0,2;-0,2; 0;0,52;
