sep=;
# Datei;"Log_20251204_011944.csv"
# Kunde;"Ofkfb"
# Objekt;"Bffoyb"
# Messstelle;""
# Verglasungsart;"2-fach"
# Notizen;"Bfidby"
# Startzeit;"2025-12-04 01:19:45"
# Messintervall [s];1

Zeit [s];T_si [°C];T_se [°C];q_si [W/m²];q_se [W/m²];q_mittel [W/m²];Lux [lx];U [W/m²K];q_true [W/m²]
0;18,36;18,60;-0,0;-0,2;-0,1; 0;0,45;
2;18,35;18,61;-0,1;-0,1;-0,1; 0;0,41;
3;18,35;18,60;-0,1;-0,1;-0,1; 0;0,41;
4;18,35;18,59;-0,1;-0,1;-0,1; 0;0,41;
5;18,36;18,60;-0,1;-0,1;-0,1; 0;0,39;
6;18,36;18,59;-0,1;-0,1;-0,1; 0;0,40;
7;18,35;18,59;-0,1;-0,1;-0,1; 0;0,41;
8;18,36;18,59;-0,1;-0,1;-0,1; 0;0,43;
9;18,36;18,59;-0,1;-0,2;-0,1; 0;0,46;
11;18,36;18,60;-0,1;-0,2;-0,1; 0;0,50;
11;18,35;18,60;-0,1;-0,2;-0,1; 0;0,50;
12;18,35;18,60;-0,1;-0,2;-0,1; 0;0,54;
13;18,36;18,59;-0,1;-0,2;-0,2; 0;0,61;
14;18,36;18,60;-0,1;-0,2;-0,2; 0;0,64;
15;18,37;18,61;-0,1;-0,3;-0,2; 0;0,65;
16;18,36;18,61;-0,1;-0,3;-0,2; 0;0,63;
17;18,35;18,61;-0,1;-0,3;-0,2; 0;0,60;
18;18,36;18,62;-0,1;-0,3;-0,2; 0;0,58;
19;18,36;18,63;-0,1;-0,3;-0,2; 0;0,55;
20;18,36;18,63;-0,1;-0,3;-0,2; 0;0,55;
21;18,36;18,62;-0,0;-0,3;-0,2; 0;0,54;
22;18,37;18,61;-0,0;-0,3;-0,1; 0;0,53;
23;18,37;18,61;-0,0;-0,3;-0,1; 0;0,55;
24;18,38;18,60;0,0;-0,3;-0,1; 0;0,57;
25;18,38;18,60;0,0;-0,3;-0,1; 0;0,55;
26;18,39;18,61;0,1;-0,3;-0,1; 0;0,55;
27;18,40;18,61;0,1;-0,4;-0,1; 0;0,55;
28;18,40;18,61;0,1;-0,4;-0,1; 0;0,53;
29;18,41;18,61;0,1;-0,4;-0,1; 0;0,56;
30;18,40;18,61;0,1;-0,4;-0,1; 0;0,54;
31;18,39;18,61;0,1;-0,4;-0,1; 0;0,51;
32;18,40;18,62;0,1;-0,3;-0,1; 0;0,51;
33;18,39;18,62;0,1;-0,3;-0,1; 0;0,50;
34;18,38;18,61;0,0;-0,3;-0,1; 0;0,51;
35;18,37;18,61;0,0;-0,3;-0,1; 0;0,52;
36;18,37;18,62;-0,0;-0,3;-0,1; 0;0,51;
38;18,37;18,62;-0,0;-0,2;-0,1; 0;0,52;
38;18,36;18,62;-0,1;-0,2;-0,1; 0;0,51;
39;18,36;18,61;-0,1;-0,2;-0,1; 0;0,54;
40;18,36;18,60;-0,1;-0,2;-0,2; 0;0,55;
41;18,36;18,60;-0,1;-0,2;-0,2; 0;0,58;
