sep=;
# Datei;"Log_20251204_021245.csv"
# Kunde;"Djkd"
# Objekt;"Dnkddb"
# Messstelle;""
# Verglasungsart;"2-fach"
# Notizen;"Ndkdns"
# Startzeit;"2025-12-04 02:12:47"
# Messintervall [s];5

Zeit [s];T_si [°C];T_se [°C];q_si [W/m²];q_se [W/m²];q_mittel [W/m²];Lux [lx];U [W/m²K];q_true [W/m²]
0;18,29;18,55;-0,1;-0,2;-0,1; 0;0,49;
10;18,31;18,54;-0,1;-0,2;-0,1; 0;0,48;
15;18,30;18,54;-0,1;-0,2;-0,1; 0;0,50;
20;18,29;18,54;-0,1;-0,2;-0,1; 0;0,53;
25;18,29;18,53;-0,1;-0,2;-0,1; 0;0,46;
31;18,29;18,53;-0,0;-0,2;-0,1; 0;0,41;
35;18,30;18,54;-0,1;-0,2;-0,1; 0;0,46;
40;18,29;18,54;-0,1;-0,2;-0,2; 0;0,62;
45;18,28;18,55;-0,2;-0,2;-0,2; 0;0,66;
51;18,28;18,54;-0,2;-0,2;-0,2; 0;0,63;
55;18,29;18,54;-0,1;-0,2;-0,2; 0;0,59;
60;18,30;18,54;0,0;-0,3;-0,1; 0;0,55;
65;18,31;18,55;0,0;-0,4;-0,2; 0;0,58;
70;18,32;18,56;0,0;-0,4;-0,2; 0;0,62;
75;18,32;18,57;0,0;-0,3;-0,2; 0;0,60;
81;18,29;18,56;-0,1;-0,3;-0,2; 0;0,62;
85;18,28;18,55;-0,2;-0,2;-0,2; 0;0,65;
90;18,29;18,55;-0,1;-0,2;-0,1; 0;0,52;
95;18,31;18,55;-0,1;-0,2;-0,1; 0;0,50;
100;18,30;18,55;-0,1;-0,2;-0,1; 0;0,53;
105;18,30;18,54;-0,1;-0,2;-0,1; 0;0,53;
110;18,30;18,54;-0,1;-0,2;-0,1; 0;0,53;
115;18,30;18,54;-0,1;-0,2;-0,2; 0;0,57;
120;18,29;18,53;-0,1;-0,2;-0,2; 0;0,55;
125;18,30;18,54;-0,1;-0,2;-0,1; 0;0,54;
130;18,30;18,55;0,0;-0,3;-0,1; 0;0,51;
136;18,30;18,54;0,0;-0,2;-0,1; 0;0,45;
140;18,31;18,54;-0,0;-0,2;-0,1; 0;0,45;
145;18,31;18,54;-0,0;-0,2;-0,1; 0;0,51;
150;18,30;18,54;-0,0;-0,2;-0,1; 0;0,46;
156;18,31;18,54;0,0;-0,2;-0,1; 0;0,44;
160;18,31;18,55;-0,0;-0,3;-0,2; 0;0,60;
165;18,32;18,55;-0,0;-0,3;-0,2; 0;0,65;
170;18,33;18,55;0,0;-0,3;-0,1; 0;0,58;
175;18,33;18,55;0,0;-0,3;-0,1; 0;0,54;
