sep=;
# Datei;"Log_20251204_033801.csv"
# Kunde;"Aller letzter Test"
# Objekt;""
# Messstelle;""
# Verglasungsart;"2-fach"
# Notizen;""
# Startzeit;"2025-12-04 03:38:02"
# Messintervall [s];5

Zeit [s];T_si [°C];T_se [°C];q_si [W/m²];q_se [W/m²];q_mittel [W/m²];Lux [lx];U [W/m²K];q_true [W/m²]
0;18,29;19,08;0,1;-3,0;-1,5; 1;1,16;
10;18,31;19,16;-0,1;-0,1;-0,1; 1;0,12;
16;18,30;19,14;-0,1;0,3;0,1; 1;0,10;
20;18,30;19,13;-0,1;0,4;0,2; 1;0,19;
25;18,29;19,14;-0,1;0,4;0,2; 1;0,20;
30;18,30;19,13;-0,0;0,5;0,2; 1;0,26;
35;18,29;19,10;-0,0;0,6;0,3; 1;0,33;
41;18,31;19,10;0,0;0,6;0,3; 1;0,36;
46;18,31;19,10;0,0;0,6;0,3; 1;0,36;
51;18,31;19,10;0,0;0,6;0,3; 1;0,36;
56;18,28;19,08;-0,1;0,6;0,3; 1;0,32;
61;18,28;19,05;-0,1;0,7;0,3; 1;0,35;
66;18,29;19,06;-0,0;0,7;0,3; 1;0,41;
70;18,30;19,08;0,0;0,6;0,3; 1;0,38;
75;18,30;19,10;0,1;0,5;0,3; 1;0,36;
