sep=;
# Datei;"Log_20251204_202909.csv"
# Kunde;""
# Objekt;""
# Messstelle;""
# Verglasungsart;""
# Notizen;""
# Startzeit;"2025-12-04 20:29:11"
# Messintervall [s];1

Zeit [s];T_si [°C];T_se [°C];q_si [W/m²];q_se [W/m²];q_mittel [W/m²];Lux [lx];U [W/m²K];q_true [W/m²]
0;19,02;18,80;-0,2;-0,6;-0,4; 1;1,30;
2;19,01;18,82;-0,2;-0,5;-0,4; 1;1,41;
3;19,00;18,83;-0,2;-0,5;-0,4; 1;1,53;
4;18,99;18,83;-0,2;-0,5;-0,4; 1;1,60;
5;18,99;18,83;-0,2;-0,5;-0,3; 1;1,59;
6;18,99;18,82;-0,2;-0,5;-0,3; 1;1,58;
7;18,98;18,84;-0,2;-0,5;-0,3; 1;1,73;
8;18,98;18,82;-0,2;-0,5;-0,3; 1;1,60;
9;18,98;18,82;-0,2;-0,5;-0,3; 1;1,57;
10;18,97;18,81;-0,2;-0,5;-0,3; 1;1,60;
11;18,97;18,81;-0,2;-0,5;-0,3; 1;1,62;
12;18,96;18,80;-0,2;-0,5;-0,4; 1;1,60;
13;18,96;18,82;-0,2;-0,5;-0,4; 1;1,76;
14;18,97;18,82;-0,2;-0,5;-0,4; 1;1,73;
15;18,96;18,81;-0,2;-0,6;-0,4; 1;1,74;
16;18,94;18,80;-0,2;-0,6;-0,4; 1;1,83;
17;18,94;18,80;-0,2;-0,6;-0,4; 1;1,83;
18;18,92;18,79;-0,2;-0,6;-0,4; 1;1,95;
19;18,92;18,80;-0,2;-0,6;-0,4; 1;2,07;
20;18,92;18,80;-0,2;-0,6;-0,4; 1;2,04;
