sep=;
# Datei;"Log_20251205_033943.csv"
# Kunde;""
# Objekt;""
# Messstelle;"F1"
# Verglasungsart;"2-fach"
# Notizen;""
# Startzeit;"2025-12-05 03:39:44"
# Messintervall [s];1

Zeit [s];T_si [°C];T_se [°C];q_si [W/m²];q_se [W/m²];q_mittel [W/m²];Lux [lx];U [W/m²K];q_true [W/m²]
0;8,33;8,74;0,4;1,2;0,8; 2;1,46;
2;8,33;8,76;0,3;1,2;0,7; 2;1,35;
3;8,32;8,76;0,2;1,3;0,7; 2;1,31;
4;8,32;8,77;0,2;1,3;0,7; 2;1,28;
5;8,31;8,78;0,2;1,3;0,7; 2;1,20;
6;8,31;8,78;0,1;1,3;0,7; 2;1,18;
8;8,27;8,76;0,1;1,2;0,7; 2;1,15;
8;8,25;8,74;0,1;1,2;0,7; 2;1,14;
9;8,25;8,73;0,2;1,2;0,7; 2;1,17;
11;8,25;8,72;0,2;1,2;0,7; 2;1,20;
11;8,24;8,69;0,3;1,2;0,7; 2;1,26;
