sep=;
# Datei;"Log_20251205_042152.csv"
# Kunde;""
# Objekt;""
# Messstelle;""
# Verglasungsart;"2-fach"
# Notizen;""
# Startzeit;"2025-12-05 04:21:54"
# Messintervall [s];1

Zeit [s];T_si [°C];T_se [°C];q_si [W/m²];q_se [W/m²];q_mittel [W/m²];Lux [lx];U [W/m²K];q_true [W/m²]
0;18,03;18,08;-0,3;-0,3;-0,3; 2;3,15;
1;18,09;18,11;-0,3;-0,3;-0,3; 2;4,61;
2;18,08;18,11;-0,3;-0,3;-0,3; 2;3,48;
3;18,08;18,10;-0,3;-0,3;-0,3; 2;4,18;
4;18,07;18,10;-0,3;-0,3;-0,3; 2;3,94;
5;18,07;18,09;-0,3;-0,3;-0,3; 2;4,46;
6;18,08;18,09;-0,3;-0,3;-0,3; 2;5,05;
7;18,07;18,08;-0,3;-0,3;-0,3; 2;4,47;
8;18,06;18,09;-0,3;-0,3;-0,3; 2;3,72;
9;18,05;18,09;-0,3;-0,3;-0,3; 2;3,41;
10;18,06;18,08;-0,3;-0,3;-0,3; 2;3,80;
11;18,08;18,10;-0,3;-0,3;-0,3; 2;3,89;
12;18,07;18,10;-0,3;-0,3;-0,3; 2;3,67;
13;18,06;18,09;-0,3;-0,3;-0,3; 2;3,64;
14;18,06;18,09;-0,3;-0,3;-0,3; 2;3,53;
15;18,05;18,09;-0,3;-0,3;-0,3; 2;2,94;
16;18,05;18,10;-0,3;-0,3;-0,3; 2;2,85;
17;18,06;18,12;-0,3;-0,3;-0,3; 2;2,66;
18;18,06;18,11;-0,3;-0,3;-0,3; 2;3,14;
19;18,06;18,10;-0,3;-0,3;-0,3; 2;3,34;
20;18,08;18,10;-0,3;-0,3;-0,3; 2;3,95;
21;18,07;18,10;-0,3;-0,3;-0,3; 2;3,48;
22;18,06;18,11;-0,3;-0,3;-0,3; 2;3,01;
23;18,07;18,11;-0,3;-0,3;-0,3; 2;3,04;
24;18,07;18,12;-0,3;-0,3;-0,3; 2;2,78;
25;18,07;18,11;-0,3;-0,3;-0,3; 2;3,20;
26;18,06;18,11;-0,3;-0,3;-0,3; 2;3,00;
