sep=;
# Datei;"Log_20251205_115915.csv"
# Kunde;"Carolin"
# Objekt;"Danzigerstraße"
# Messstelle;"F1"
# Verglasungsart;"2-fach"
# Notizen;"Bewölkt"
# Startzeit;"2025-12-05 11:59:17"
# Messintervall [s];5

Zeit [s];T_si [°C];T_se [°C];q_si [W/m²];q_se [W/m²];q_mittel [W/m²];Lux [lx];U [W/m²K];q_true [W/m²]
1;21,09;21,04;12,9;2,8;7,9;493;5,65;0,0
5;21,09;21,03;10,4;2,3;6,4;483;5,60;0,0
10;21,07;21,03;5,6;-1,1;2,3;493;5,19;0,0
15;21,07;21,03;2,7;-2,4;0,1;491;3,06;0,0
20;21,07;21,02;1,7;-4,0;-1,1;491;4,66;0,0
25;21,07;21,02;1,2;-6,5;-2,7;501;5,34;0,0
30;21,05;21,02;2,4;-6,8;-2,2;497;5,40;0,0
35;21,05;21,02;1,5;-6,7;-2,6;499;5,56;0,0
40;21,05;21,02;-0,9;-7,9;-4,4;501;5,62;0,0
45;21,04;21,01;-4,7;-9,9;-7,3;505;5,75;0,0
50;21,04;21,01;-5,7;-9,3;-7,5;507;5,75;0,0
55;21,04;21,01;-5,9;-7,3;-6,6;502;5,75;0,0
60;21,03;21,01;-7,4;-10,5;-8,9;503;5,78;0,0
65;21,04;21,00;-10,4;-14,1;-12,2;503;5,77;0,0
70;21,03;20,99;-12,3;-17,6;-15,0;504;5,80;0,0
75;21,02;20,98;-13,7;-19,6;-16,7;505;5,80;0,0
81;21,01;20,98;-15,7;-21,9;-18,8;506;5,83;0,0
85;21,01;20,98;-16,5;-22,9;-19,7;506;5,83;0,0
90;21,00;20,98;-15,7;-21,6;-18,6;507;5,84;0,0
95;21,00;20,98;-13,7;-14,6;-14,2;507;5,85;0,0
100;21,00;20,99;-10,3;-8,1;-9,2;508;5,84;0,0
105;21,01;21,00;-5,7;-3,8;-4,7;508;5,78;0,0
110;21,02;21,00;-2,8;-2,1;-2,4;509;5,66;0,0
115;21,03;21,00;-1,2;1,6;0,2;510;4,87;0,0
120;21,03;21,02;-0,2;6,1;3,0;513;5,69;0,0
125;21,04;21,02;-1,3;6,3;2,5;515;5,70;0,0
130;21,03;21,01;-6,0;2,2;-1,9;516;5,33;0,0
135;21,03;21,00;-9,7;-2,0;-5,9;517;5,71;0,0
140;21,03;21,01;-10,8;-5,0;-7,9;519;5,80;0,0
145;21,02;21,00;-11,4;-7,0;-9,2;519;5,81;0,0
150;21,01;21,00;-11,9;-9,5;-10,7;521;5,85;0,0
155;21,00;21,00;-14,0;-13,3;-13,7;521;5,86;0,0
160;21,00;20,98;-16,6;-17,5;-17,1;522;5,86;0,0
165;20,99;20,97;-18,6;-20,2;-19,4;568;5,85;0,0
170;21,00;20,99;-17,9;-18,9;-18,4;410;5,87;0,0
175;21,00;20,99;-11,6;-12,4;-12,0;311;5,86;0,0
180;21,00;20,99;-8,8;-10,0;-9,4;310;5,85;0,0
185;21,00;20,99;-10,6;-11,4;-11,0;251;5,83;0,0
190;20,99;20,98;-13,8;-11,7;-12,8;266;5,85;0,0
195;20,98;20,98;-19,2;-14,0;-16,6;328;5,87;0,0
200;20,98;20,97;-24,6;-20,3;-22,4;278;5,88;0,0
205;20,97;20,97;-24,9;-23,2;-24,0;282;5,87;0,0
210;20,98;20,98;-19,4;-18,8;-19,1;281;5,87;0,0
215;20,99;20,99;-12,5;-10,8;-11,7;277;5,87;0,0
220;21,00;20,99;-7,2;-5,8;-6,5;281;5,79;0,0
225;21,01;21,00;-5,6;-3,6;-4,6;279;5,80;0,0
230;21,01;21,00;-5,8;-2,8;-4,3;279;5,76;0,0
235;21,01;21,00;-6,4;-1,3;-3,9;291;5,80;0,0
240;21,02;21,00;-6,2;-0,0;-3,1;270;5,71;0,0
245;21,02;21,01;-5,3;-0,7;-3,0;286;5,77;0,0
250;21,03;21,02;-6,6;-0,2;-3,4;176;5,74;0,0
256;21,02;21,02;-6,5;-1,1;-3,8;63;5,85;0,0
260;21,01;21,01;-9,4;-3,1;-6,3;12;5,84;0,0
