sep=;
# Datei;"Log_20260211_102600.csv"
# Kunde;"Testmessung mit ALM"
# Objekt;""
# Messstelle;"F1"
# Verglasungsart;"2-fach"
# Notizen;""
# Startzeit;"2026-02-11 10:26:02"
# Messintervall [s];5

Zeit [s];T_si [°C];T_se [°C];q_si [W/m²];q_se [W/m²];q_mittel [W/m²];Lux [lx];U [W/m²K];q_true [W/m²]
2;18,34;17,83;42,8;-42,5;0,1;7084;1,18;0,0
6;19,49;18,95;33,1;-35,3;-1,1;6350;1,50;0,0
12;19,48;18,95;33,1;-35,2;-1,0;6401;1,44;0,0
17;19,49;18,95;33,2;-35,1;-0,9;6300;1,33;0,0
22;19,48;18,95;33,6;-35,6;-1,0;6004;1,44;0,0
26;19,49;18,95;34,0;-36,3;-1,1;5794;1,55;0,0
31;19,50;18,95;34,9;-36,9;-1,0;5657;1,35;0,0
36;19,51;18,94;35,7;-37,0;-0,7;5634;0,97;0,0
41;19,53;18,94;36,8;-37,6;-0,4;5648;0,60;0,0
47;19,54;18,94;37,6;-37,6;0,0;5657;0,07;0,0
49;19,53;18,94;24,8;-37,7;-6,5;5718;1,97;0,0
55;19,53;18,93;5,3;-37,6;-16,1;5849;4,84;0,0
59;19,52;18,94;5,3;-37,3;-16,0;6161;4,84;0,0
65;19,53;18,94;5,4;-37,5;-16,1;6366;4,83;0,0
69;19,54;18,94;5,4;-37,4;-16,0;6365;4,81;0,0
74;19,54;18,94;5,4;-37,1;-15,8;6226;4,82;0,0
80;19,54;18,93;5,4;-36,5;-15,5;5997;4,78;0,0
85;19,55;18,94;5,5;-36,8;-15,7;5898;4,78;0,0
89;19,58;18,94;5,6;-37,8;-16,1;5998;4,77;0,0
95;19,58;18,94;5,5;-38,3;-16,4;6301;4,79;0,0
100;19,58;18,95;5,5;-38,8;-16,6;6406;4,80;0,0
104;19,59;18,95;5,5;-39,3;-16,9;6248;4,81;0,0
110;19,61;18,97;5,6;-39,3;-16,9;6075;4,81;0,0
114;19,59;18,96;5,4;-38,7;-16,7;5917;4,82;0,0
119;19,57;18,95;5,2;-38,5;-16,6;5820;4,83;0,0
125;19,56;18,95;5,2;-37,8;-16,3;5797;4,81;0,0
129;19,55;18,95;5,2;-37,2;-16,0;5777;4,83;0,0
135;19,56;18,95;5,2;-37,1;-16,0;5759;4,80;0,0
140;17,80;18,94;5,3;-36,8;-15,8;5775;4,33;0,0
144;19,56;18,94;5,2;-36,6;-15,7;5802;4,77;0,0
150;19,55;18,93;5,2;-36,7;-15,7;5834;4,78;0,0
154;19,55;18,94;5,2;-37,3;-16,0;5869;4,80;0,0
160;19,55;18,95;5,2;-37,7;-16,3;5893;4,84;0,0
164;19,54;18,95;5,2;-37,6;-16,2;5832;4,83;0,0
170;19,54;18,95;5,2;-37,7;-16,3;5760;4,84;0,0
174;19,55;18,96;5,2;-37,4;-16,1;5720;4,84;0,0
179;19,56;18,96;5,2;-37,7;-16,2;5711;4,83;0,0
185;19,56;18,96;5,1;-37,9;-16,4;5718;4,84;0,0
189;19,54;18,95;5,1;-37,9;-16,4;5732;4,85;0,0
194;19,53;18,95;5,0;-38,0;-16,5;5761;4,87;0,0
200;19,54;18,96;5,1;-38,6;-16,7;5765;4,88;0,0
205;19,55;18,95;5,1;-38,6;-16,7;5744;4,86;0,0
209;19,55;18,95;5,1;-38,6;-16,7;5741;4,86;0,0
214;19,56;18,96;5,3;-38,7;-16,7;5761;4,85;0,0
219;19,59;18,96;5,4;-38,3;-16,5;5806;4,80;0,0
225;19,59;18,97;5,4;-38,2;-16,4;5877;4,81;0,0
229;19,58;18,96;5,3;-38,4;-16,5;5904;4,81;0,0
235;19,59;18,96;5,3;-38,5;-16,6;5909;4,82;0,0
240;19,58;18,98;5,3;-38,9;-16,8;5885;4,85;0,0
244;19,59;18,98;5,3;-39,0;-16,8;5862;4,85;0,0
249;19,58;18,98;5,3;-32,6;-13,6;5869;4,00;0,0
254;19,58;18,98;5,3;-5,5;-0,1;5861;0,15;0,0
259;19,58;18,98;5,3;-5,5;-0,1;5837;0,16;0,0
262;19,58;18,97;5,2;-1,1;2,1;5779;1,53;0,0
267;19,57;18,98;5,1;5,4;5,3;5740;3,54;0,0
272;19,56;18,97;5,1;5,3;5,2;5738;3,53;0,0
277;19,55;18,96;5,1;5,3;5,2;5774;3,53;0,0
282;19,54;18,97;5,1;5,3;5,2;5643;3,55;0,0
287;19,54;18,96;5,0;5,2;5,1;5517;3,54;0,0
292;19,53;18,95;5,0;5,1;5,1;5402;3,51;0,0
297;19,52;18,96;5,0;5,1;5,0;5362;3,53;0,0
302;19,52;18,95;5,0;5,0;5,0;5317;3,50;0,0
307;19,51;18,94;4,9;5,0;5,0;5282;3,51;0,0
312;19,51;18,95;4,9;5,0;5,0;5251;3,54;0,0
317;19,52;18,94;5,1;5,1;5,1;5219;3,53;0,0
322;19,51;18,94;5,1;5,2;5,2;5186;3,56;0,0
327;19,51;18,94;5,1;5,3;5,2;5156;3,57;0,0
332;19,52;18,94;5,1;5,2;5,2;5135;3,55;0,0
337;19,49;18,93;5,1;5,2;5,2;5112;3,59;0,0
342;19,48;18,93;5,1;5,2;5,1;5107;3,60;0,0
347;19,48;18,92;5,1;5,1;5,1;5113;3,59;0,0
352;19,47;18,91;5,0;5,1;5,1;5128;3,58;0,0
357;19,46;18,91;5,0;5,1;5,1;5145;3,59;0,0
362;19,46;18,92;5,1;5,2;5,1;5150;3,65;0,0
367;19,48;18,91;5,1;5,2;5,2;5165;3,59;0,0
372;19,47;18,91;5,2;5,3;5,2;5170;3,62;0,0
377;19,48;18,93;5,2;5,4;5,3;5174;3,67;0,0
382;19,49;18,92;5,2;5,4;5,3;5211;3,62;0,0
387;19,48;18,91;5,2;5,3;5,3;5196;3,61;0,0
392;19,48;18,90;5,2;5,3;5,2;5186;3,59;0,0
397;19,47;18,90;5,2;5,3;5,2;5159;3,59;0,0
402;19,47;18,90;5,1;5,3;5,2;5138;3,59;0,0
407;19,46;18,90;5,1;5,3;5,2;5167;3,61;0,0
412;19,46;18,89;5,1;5,3;5,2;5201;3,59;0,0
417;19,47;18,89;5,2;5,3;5,3;5225;3,57;0,0
422;19,47;18,90;5,2;5,3;5,3;5282;3,60;0,0
427;19,47;18,90;5,3;5,4;5,3;5290;3,61;0,0
432;19,46;18,90;5,3;5,3;5,3;5235;3,62;0,0
437;19,46;18,89;5,2;5,3;5,3;5209;3,61;0,0
442;19,45;18,89;5,2;5,3;5,3;5227;3,61;0,0
447;19,45;18,89;5,2;5,3;5,3;5314;3,61;0,0
452;19,45;18,88;5,2;5,3;5,3;5413;3,60;0,0
457;19,46;18,90;5,2;5,4;5,3;5493;3,62;0,0
462;19,45;18,89;5,1;5,5;5,3;5653;3,60;0,0
467;19,46;18,88;5,1;5,5;5,3;5765;3,58;0,0
472;19,46;18,89;5,1;5,4;5,3;5667;3,58;0,0
477;19,45;18,88;5,1;5,4;5,2;5509;3,57;0,0
482;19,45;18,88;5,0;5,3;5,2;5440;3,57;0,0
487;19,45;18,87;5,0;5,3;5,1;5403;3,54;0,0
492;19,44;18,87;5,0;5,2;5,1;5416;3,56;0,0
497;19,44;18,88;5,1;5,2;5,2;5446;3,58;0,0
502;19,45;18,88;5,2;5,3;5,2;5503;3,58;0,0
507;19,47;18,88;5,3;5,2;5,3;5586;3,55;0,0
512;19,46;18,88;5,3;5,2;5,3;5751;3,55;0,0
517;19,46;18,87;5,3;5,2;5,2;5874;3,54;0,0
522;19,47;18,87;5,3;5,2;5,2;6120;3,52;0,0
527;19,48;18,88;5,3;5,2;5,3;6525;3,53;0,0
532;19,48;18,88;5,3;5,1;5,2;6709;3,51;0,0
537;19,49;18,88;5,2;5,1;5,2;6810;3,48;0,0
542;19,50;18,89;5,3;5,2;5,2;6933;3,48;0,0
