sep=;
# Datei;"Log_20260211_152828.csv"
# Kunde;"test"
# Objekt;""
# Messstelle;"F1"
# Verglasungsart;"2-fach"
# Notizen;""
# Startzeit;"2026-02-11 15:28:30"
# Messintervall [s];5

Zeit [s];T_si [°C];T_se [°C];q_si [W/m²];q_se [W/m²];q_mittel [W/m²];Lux [lx];U [W/m²K];q_true [W/m²]
4;18,24;18,40;3,5;3,9;3,7; 9;4,95;0,0
6;18,29;18,44;3,5;3,9;3,7; 9;4,74;0,0
11;18,29;18,43;3,5;3,9;3,7; 9;4,83;0,0
16;18,30;18,43;3,5;3,9;3,7; 9;4,89;0,0
21;18,30;18,43;3,5;3,9;3,7; 9;4,91;0,0
26;18,31;18,43;3,5;3,9;3,7; 9;4,91;0,0
30;18,31;18,43;3,6;3,9;3,8; 9;4,91;0,0
36;18,31;18,44;3,6;3,9;3,8; 9;4,87;0,0
40;18,30;18,44;3,5;3,9;3,7; 9;4,82;0,0
45;18,31;18,44;3,5;3,9;3,7; 9;4,88;0,0
50;18,32;18,43;3,6;3,9;3,7; 9;4,97;0,0
55;18,32;18,44;3,6;3,9;3,8; 9;4,96;0,0
61;18,32;18,44;3,6;3,9;3,7; 9;4,93;0,0
65;18,32;18,44;3,6;3,9;3,7; 9;4,96;0,0
70;18,32;18,44;3,6;3,8;3,7; 9;4,94;0,0
75;18,31;18,43;3,5;3,8;3,7; 9;4,91;0,0
81;18,31;18,43;3,5;3,8;3,6; 9;4,92;0,0
85;18,32;18,43;3,5;3,8;3,6; 9;5,01;0,0
90;18,33;18,44;3,5;3,8;3,6; 9;4,98;0,0
96;18,32;18,44;3,5;3,8;3,7; 9;4,96;0,0
101;18,32;18,44;3,6;3,8;3,7; 9;4,94;0,0
106;18,32;18,43;3,5;3,8;3,7; 9;4,96;0,0
110;18,31;18,43;3,5;3,8;3,7; 9;4,94;0,0
115;18,31;18,43;3,5;3,8;3,6; 9;4,97;0,0
120;18,32;18,43;3,5;3,8;3,6; 9;4,97;0,0
126;18,32;18,43;3,5;3,8;3,7; 9;4,96;0,0
131;18,32;18,44;3,5;3,9;3,7; 9;4,95;0,0
135;18,32;18,43;3,5;3,8;3,6; 9;4,95;0,0
140;18,33;18,43;3,5;3,8;3,7; 9;5,01;0,0
