sep=;
# Datei;"Log_20260211_162454.csv"
# Kunde;"Herr Müller"
# Objekt;"Schellingstraße"
# Messstelle;"F1"
# Verglasungsart;"2-fach"
# Notizen;""
# Startzeit;"2026-02-11 16:24:56"
# Messintervall [s];5

Zeit [s];T_si [°C];T_se [°C];q_si [W/m²];q_se [W/m²];q_mittel [W/m²];Lux [lx];U [W/m²K];q_true [W/m²]
2;18,48;18,60;4,8;5,1;5,0;10;5,18;0,0
7;18,50;18,59;4,9;5,2;5,0;10;5,30;0,0
12;18,50;18,60;4,9;5,3;5,1;10;5,29;0,0
17;18,49;18,60;5,0;5,3;5,1;10;5,20;0,0
21;18,50;18,60;5,0;5,3;5,1;10;5,24;0,0
26;18,49;18,60;4,9;5,3;5,1;10;5,23;0,0
31;18,49;18,60;4,9;5,2;5,1;10;5,20;0,0
36;18,48;18,61;4,9;5,3;5,1;10;5,14;0,0
41;18,49;18,60;4,9;5,3;5,1;10;5,18;0,0
46;18,48;18,60;4,9;5,3;5,1;10;5,16;0,0
51;18,48;18,61;4,9;5,2;5,1;10;5,13;0,0
56;18,48;18,60;4,9;5,2;5,1;10;5,13;0,0
61;18,47;18,60;4,9;5,3;5,1;10;5,11;0,0
67;18,47;17,18;4,9;5,3;5,1; 9;4,67;0,0
