sep=;
# Datei;"Log_20260215_174201.csv"
# Kunde;"Herr Müller"
# Objekt;"Wiesenstraße 2"
# Messstelle;"F1"
# Verglasungsart;"2-fach"
# Notizen;""
# Startzeit;"2026-02-15 17:42:03"
# Messintervall [s];10

Zeit [s];T_si [°C];T_se [°C];q_si [W/m²];q_se [W/m²];q_mittel [W/m²];Lux [lx];U [W/m²K];q_true [W/m²]
5;20,02;6,50;23,7;7,9;15,8;136;0,97;0,0
13;22,59;2,86;48,2;36,7;42,5;48;1,58;0,0
23;22,60;2,83;47,1;38,1;42,6;47;1,58;0,0
33;22,61;2,81;45,8;38,1;42,0;46;1,56;0,0
43;22,63;2,79;44,8;37,1;41,0;45;1,53;0,0
53;22,65;2,75;45,1;37,7;41,4;44;1,54;0,0
63;22,66;2,72;46,2;38,1;42,1;43;1,55;0,0
73;22,68;2,70;46,5;37,4;41,9;42;1,55;0,0
83;22,70;2,69;45,9;37,4;41,7;41;1,54;0,0
92;22,71;2,54;44,2;38,8;41,5;40;1,47;0,0
103;22,72;2,59;43,6;39,9;41,7;40;1,53;0,0
112;22,76;2,57;44,6;39,6;42,1;39;1,54;0,0
122;22,76;2,54;44,9;39,5;42,2;38;1,54;0,0
133;22,76;2,53;44,2;39,0;41,6;37;1,52;0,0
143;22,76;2,53;44,3;38,1;41,2;36;1,51;0,0
153;22,79;2,49;43,6;37,6;40,6;36;1,49;0,0
163;22,77;2,44;42,0;37,8;39,9;35;1,47;0,0
172;22,79;2,44;42,3;36,5;39,4;34;1,46;0,0
182;22,81;2,42;42,9;36,6;39,8;33;1,46;0,0
193;22,81;2,39;42,2;36,8;39,5;32;1,45;0,0
203;22,84;2,34;43,9;37,1;40,5;32;1,48;0,0
213;22,85;2,29;44,3;38,2;41,3;31;1,50;0,0
222;22,87;2,26;44,5;38,9;41,7;30;1,51;0,0
232;22,86;2,27;42,4;37,7;40,0;29;1,46;0,0
243;22,87;2,25;42,5;38,2;40,3;28;1,47;0,0
252;22,89;2,22;42,8;38,0;40,4;27;1,47;0,0
262;22,90;2,22;42,3;36,9;39,6;26;1,44;0,0
273;22,95;2,19;43,8;37,0;40,4;26;1,46;0,0
283;22,97;2,16;44,9;36,9;40,9;25;1,47;0,0
292;22,99;2,15;45,0;36,5;40,8;25;1,47;0,0
302;23,01;2,11;44,8;37,1;40,9;24;1,47;0,0
312;23,03;2,10;44,5;37,0;40,7;23;1,46;0,0
323;23,04;2,07;43,8;36,6;40,2;22;1,45;0,0
333;23,05;2,08;44,4;36,3;40,4;21;1,45;0,0
343;23,06;2,07;44,3;35,9;40,1;21;1,44;0,0
353;23,09;2,06;44,4;35,2;39,8;20;1,43;0,0
362;23,08;2,05;42,4;34,7;38,5;19;1,40;0,0
372;23,09;2,03;41,9;34,7;38,3;19;1,39;0,0
383;23,12;2,00;43,0;35,3;39,1;18;1,41;0,0
392;23,12;1,99;43,0;35,4;39,2;17;1,41;0,0
402;23,12;2,00;43,1;34,4;38,8;17;1,40;0,0
412;23,14;1,98;44,2;34,3;39,2;16;1,41;0,0
